鄉鎮市,年齡層,性別,人口數
卑南鄉,70-74歲,女,525
卑南鄉,75-79歲,女,317
卑南鄉,80-84歲,女,239
卑南鄉,85-89歲,女,171
卑南鄉,90歲以上,女,88
延平鄉,0-4歲,男,-94
延平鄉,5-9歲,男,-80
延平鄉,10-14歲,男,-87
延平鄉,15-19歲,男,-87
延平鄉,20-24歲,男,-106
延平鄉,25-29歲,男,-159
延平鄉,30-34歲,男,-128
延平鄉,35-39歲,男,-116
延平鄉,40-44歲,男,-142
延平鄉,45-49歲,男,-179
延平鄉,50-54歲,男,-163
延平鄉,55-59歲,男,-155
延平鄉,60-64歲,男,-125
延平鄉,65-69歲,男,-85
延平鄉,70-74歲,男,-70
延平鄉,75-79歲,男,-32
延平鄉,80-84歲,男,-8
延平鄉,85-89歲,男,-10
延平鄉,90歲以上,男,-1
延平鄉,0-4歲,女,101
延平鄉,5-9歲,女,89
延平鄉,10-14歲,女,70
延平鄉,15-19歲,女,99
延平鄉,20-24歲,女,129
延平鄉,25-29歲,女,135
延平鄉,30-34歲,女,142
延平鄉,35-39歲,女,93
延平鄉,40-44歲,女,127
延平鄉,45-49歲,女,138
延平鄉,50-54歲,女,136
延平鄉,55-59歲,女,123
延平鄉,60-64歲,女,122
延平鄉,65-69歲,女,81
延平鄉,70-74歲,女,58
延平鄉,75-79歲,女,41
延平鄉,80-84歲,女,12
延平鄉,85-89歲,女,15
延平鄉,90歲以上,女,10
東河鄉,0-4歲,男,-64
東河鄉,5-9歲,男,-76
東河鄉,10-14歲,男,-108
東河鄉,15-19歲,男,-113
東河鄉,20-24歲,男,-163
東河鄉,25-29歲,男,-217
東河鄉,30-34歲,男,-208
東河鄉,35-39歲,男,-203
東河鄉,40-44歲,男,-311
東河鄉,45-49歲,男,-410
東河鄉,50-54歲,男,-428
東河鄉,55-59歲,男,-449
東河鄉,60-64歲,男,-429
東河鄉,65-69歲,男,-367
東河鄉,70-74歲,男,-292
東河鄉,75-79歲,男,-169
東河鄉,80-84歲,男,-95
東河鄉,85-89歲,男,-49
東河鄉,90歲以上,男,-41
東河鄉,0-4歲,女,72
東河鄉,5-9歲,女,65
東河鄉,10-14歲,女,88
東河鄉,15-19歲,女,115
東河鄉,20-24歲,女,167
東河鄉,25-29歲,女,182
東河鄉,30-34歲,女,160
東河鄉,35-39歲,女,172
東河鄉,40-44歲,女,222
東河鄉,45-49歲,女,265
東河鄉,50-54歲,女,264
東河鄉,55-59歲,女,282
東河鄉,60-64歲,女,301
東河鄉,65-69歲,女,313
東河鄉,70-74歲,女,303
東河鄉,75-79歲,女,220
東河鄉,80-84歲,女,155
東河鄉,85-89歲,女,101
東河鄉,90歲以上,女,73
金峰鄉,0-4歲,男,-92
金峰鄉,5-9歲,男,-82
金峰鄉,10-14歲,男,-92
